,movie,year,rating,metascore,votes,genres
0,Joker,2019,8.5,59,856761," Crime, Drama, Thriller            "
1,Avengers: Endgame,2019,8.4,78,755906," Action, Adventure, Drama            "
2,Once Upon a Time... in Hollywood,2019,7.6,83,507965," Comedy, Drama            "
3,Gisaengchung,2019,8.6,96,472208," Comedy, Drama, Thriller            "
4,Captain Marvel,2019,6.9,64,422980," Action, Adventure, Sci-Fi            "
5,Knives Out,2019,7.9,82,379575," Comedy, Crime, Drama            "
6,1917,2019,8.3,78,363849," Drama, War            "
7,Star Wars: Episode IX - The Rise of Skywalker,2019,6.6,53,347671," Action, Adventure, Fantasy            "
8,Spider-Man: Far from Home,2019,7.5,69,304989," Action, Adventure, Sci-Fi            "
9,The Irishman,2019,7.9,94,304883," Biography, Crime, Drama            "
10,John Wick: Chapter 3 - Parabellum,2019,7.5,73,258340," Action, Crime, Thriller            "
11,Jojo Rabbit,2019,7.9,58,254602," Comedy, Drama, War            "
12,Ford v. Ferrari,2019,8.1,81,252731," Action, Biography, Drama            "
13,Shazam!,2019,7.1,71,241151," Action, Adventure, Comedy            "
14,Marriage Story,2019,8.0,94,227586," Comedy, Drama, Romance            "
15,Alita: Battle Angel,2019,7.3,53,217427," Action, Adventure, Sci-Fi            "
16,Aladdin,2019,7.0,53,215410," Adventure, Family, Fantasy            "
17,Us,2019,6.9,81,210207," Horror, Mystery, Thriller            "
18,The Lion King,2019,6.9,55,199762," Animation, Adventure, Drama            "
19,Uncut Gems,2019,7.4,91,199451," Crime, Drama, Thriller            "
20,Glass,2019,6.7,43,198018," Drama, Sci-Fi, Thriller            "
21,It Chapter Two,2019,6.5,58,192421," Drama, Fantasy, Horror            "
22,Toy Story 4,2019,7.8,84,189348," Animation, Adventure, Comedy            "
23,Ad Astra,2019,6.6,80,185606," Adventure, Drama, Mystery            "
24,The Gentlemen,2019,7.9,51,179780," Action, Comedy, Crime            "
25,Midsommar,2019,7.1,72,176746," Drama, Horror, Mystery            "
26,El Camino: A Breaking Bad Movie,2019,7.3,72,172382," Action, Crime, Drama            "
27,Jumanji: The Next Level,2019,6.7,58,169237," Action, Adventure, Comedy            "
28,Fast & Furious Presents: Hobbs & Shaw,2019,6.4,60,158756," Action, Adventure, Thriller            "
29,Dark Phoenix,2019,5.8,43,146327," Action, Adventure, Sci-Fi            "
30,El hoyo,2019,7.0,73,145257," Horror, Sci-Fi, Thriller            "
31,Terminator: Dark Fate,2019,6.2,54,133008," Action, Adventure, Sci-Fi            "
32,Pokémon: Detective Pikachu,2019,6.6,53,130595," Action, Adventure, Comedy            "
33,6 Underground,2019,6.1,41,129671," Action, Thriller            "
34,Zombieland: Double Tap,2019,6.7,55,125701," Action, Adventure, Comedy            "
35,Godzilla: King of the Monsters,2019,6.0,48,125423," Action, Adventure, Fantasy            "
36,Rocketman,2019,7.3,69,124548," Biography, Drama, Music            "
37,Frozen 2,2019,6.9,64,123011," Animation, Adventure, Comedy            "
38,Little Women,2019,7.8,91,122727," Drama, Romance            "
39,Doctor Sleep,2019,7.4,59,122404," Drama, Fantasy, Horror            "
