,movie,year,rating,metascore,votes
0,Inception,2010,8.8,74,2003125
1,Shutter Island,2010,8.2,63,1096120
2,Toy Story 3,2010,8.3,92,739785
3,Iron Man 2,2010,7.0,57,706331
4,Black Swan,2010,8.0,79,686201
5,How to Train Your Dragon,2010,8.1,75,651560
6,The King's Speech,2010,8.0,88,628352
7,The Social Network,2010,7.7,95,608782
8,Kick-Ass,2010,7.6,66,517723
9,Despicable Me,2010,7.6,72,491285
10,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,463145
11,Tangled,2010,7.7,71,396113
12,Alice in Wonderland,2010,6.4,53,376727
13,Scott Pilgrim vs. the World,2010,7.5,69,368860
14,Easy A,2010,7.0,72,350419
15,The Town,2010,7.5,74,345000
16,127 Hours,2010,7.5,82,342326
17,The Fighter,2010,7.8,79,334166
18,The Expendables,2010,6.5,45,321139
19,Due Date,2010,6.5,51,318830
20,Tron,2010,6.8,49,309144
21,True Grit,2010,7.6,80,305029
22,Salt,2010,6.4,65,291364
23,The Book of Eli,2010,6.9,53,288344
24,RED,2010,7.0,60,284355
25,Insidious,2010,6.8,52,271776
26,Prince of Persia: The Sands of Time,2010,6.6,50,267936
27,Clash of the Titans,2010,5.8,39,267185
28,Robin Hood,2010,6.6,53,249747
29,The A-Team,2010,6.7,47,243146
30,The Other Guys,2010,6.6,64,238076
31,Grown Ups,2010,5.9,30,224288
32,The Twilight Saga: Eclipse,2010,5.0,58,223188
33,Megamind,2010,7.2,63,222985
34,The Tourist,2010,6.0,37,220046
35,Predators,2010,6.4,51,208741
36,Machete,2010,6.6,60,188413
37,Unstoppable,2010,6.8,69,181886
38,Blue Valentine,2010,7.4,81,180781
39,Shrek Forever After,2010,6.3,58,180312
40,The Next Three Days,2010,7.4,52,178799
41,Knight and Day,2010,6.3,46,177363
42,Love & Other Drugs,2010,6.7,55,177027
43,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,174204
44,Get Him to the Greek,2010,6.4,65,168035
45,Tucker and Dale vs Evil,2010,7.5,65,162457
46,Inception,2010,8.8,74,2003125
47,Shutter Island,2010,8.2,63,1096120
48,Toy Story 3,2010,8.3,92,739785
49,Iron Man 2,2010,7.0,57,706331
50,Black Swan,2010,8.0,79,686201
51,How to Train Your Dragon,2010,8.1,75,651560
52,The King's Speech,2010,8.0,88,628352
53,The Social Network,2010,7.7,95,608782
54,Kick-Ass,2010,7.6,66,517723
55,Despicable Me,2010,7.6,72,491285
56,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,463145
57,Tangled,2010,7.7,71,396113
58,Alice in Wonderland,2010,6.4,53,376727
59,Scott Pilgrim vs. the World,2010,7.5,69,368860
60,Easy A,2010,7.0,72,350419
61,The Town,2010,7.5,74,345000
62,127 Hours,2010,7.5,82,342326
63,The Fighter,2010,7.8,79,334166
64,The Expendables,2010,6.5,45,321139
65,Due Date,2010,6.5,51,318830
66,Tron,2010,6.8,49,309144
67,True Grit,2010,7.6,80,305029
68,Salt,2010,6.4,65,291364
69,The Book of Eli,2010,6.9,53,288344
70,RED,2010,7.0,60,284355
71,Insidious,2010,6.8,52,271776
72,Prince of Persia: The Sands of Time,2010,6.6,50,267936
73,Clash of the Titans,2010,5.8,39,267185
74,Robin Hood,2010,6.6,53,249747
75,The A-Team,2010,6.7,47,243146
76,The Other Guys,2010,6.6,64,238076
77,Grown Ups,2010,5.9,30,224288
78,The Twilight Saga: Eclipse,2010,5.0,58,223188
79,Megamind,2010,7.2,63,222985
80,The Tourist,2010,6.0,37,220046
81,Predators,2010,6.4,51,208741
82,Machete,2010,6.6,60,188413
83,Unstoppable,2010,6.8,69,181886
84,Blue Valentine,2010,7.4,81,180781
85,Shrek Forever After,2010,6.3,58,180312
86,The Next Three Days,2010,7.4,52,178799
87,Knight and Day,2010,6.3,46,177363
88,Love & Other Drugs,2010,6.7,55,177027
89,Percy Jackson & the Olympians: The Lightning Thief,2010,5.9,47,174204
90,Get Him to the Greek,2010,6.4,65,168035
91,Tucker and Dale vs Evil,2010,7.5,65,162457
92,Inception,2010,8.8,74,2003125
93,Shutter Island,2010,8.2,63,1096120
94,Toy Story 3,2010,8.3,92,739785
95,Iron Man 2,2010,7.0,57,706331
96,Black Swan,2010,8.0,79,686201
97,How to Train Your Dragon,2010,8.1,75,651560
98,The King's Speech,2010,8.0,88,628352
99,The Social Network,2010,7.7,95,608782
100,Kick-Ass,2010,7.6,66,517723
101,Despicable Me,2010,7.6,72,491285
102,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65,463145
103,Tangled,2010,7.7,71,396113
104,Alice in Wonderland,2010,6.4,53,376727
105,Scott Pilgrim vs. the World,2010,7.5,69,368860
106,Easy A,2010,7.0,72,350419
107,The Town,2010,7.5,74,345000
108,127 Hours,2010,7.5,82,342326
109,The Fighter,2010,7.8,79,334166
110,The Expendables,2010,6.5,45,321139
111,Due Date,2010,6.5,51,318830
112,Tron,2010,6.8,49,309144
113,True Grit,2010,7.6,80,305029
114,Salt,2010,6.4,65,291364
115,The Book of Eli,2010,6.9,53,288344
116,RED,2010,7.0,60,284355
117,Insidious,2010,6.8,52,271776
118,Prince of Persia: The Sands of Time,2010,6.6,50,267936
119,Clash of the Titans,2010,5.8,39,267185
120,Robin Hood,2010,6.6,53,249747
121,The A-Team,2010,6.7,47,243146
122,The Other Guys,2010,6.6,64,238076
123,Grown Ups,2010,5.9,30,224288
124,The Twilight Saga: Eclipse,2010,5.0,58,223188
125,Megamind,2010,7.2,63,222985
126,The Tourist,2010,6.0,37,220046
